company_id,company_slug,company_name,website,url,normalized_url,url_key,url_kind,discovery_sources,source_event_count,confidence,fetch_priority,http_status,is_primary,is_active,first_seen_at,last_seen_at
30278,agentin-ai,Agentin AI,https://www.agentin.ai,https://agentin.ai/careers,https://agentin.ai/careers,https://agentin.ai/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:32.892312+00:00,2026-05-06 19:56:32.892312+00:00
30611,agentmail,AgentMail,https://agentmail.to,https://www.agentmail.to/careers,https://www.agentmail.to/careers,https://agentmail.to/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:33.109874+00:00,2026-05-06 19:56:33.109874+00:00
26880,airhart-aeronautics,Airhart Aeronautics,https://www.airhartaero.com/,https://airhartaero.com/careers,https://airhartaero.com/careers,https://airhartaero.com/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:33.642901+00:00,2026-05-06 19:56:33.642901+00:00
748,akido-labs,Akido Labs,http://akidolabs.com,https://www.akidolabs.com/careers,https://www.akidolabs.com/careers,https://akidolabs.com/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:33.920850+00:00,2026-05-06 19:56:33.920850+00:00
22077,akiflow,Akiflow,https://akiflow.com,https://akiflow.com/careers,https://akiflow.com/careers,https://akiflow.com/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:33.922117+00:00,2026-05-06 19:56:33.922117+00:00
23315,alpas,Alpas,https://alpas.ai/,https://alpas.ai/career,https://alpas.ai/career,https://alpas.ai/career,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:35.224495+00:00,2026-05-06 19:56:35.224495+00:00
24094,algouniversity,AlgoUniversity,http://algouniversity.com/,https://www.algouniversity.com/careers/,https://www.algouniversity.com/careers,https://algouniversity.com/careers,careers_page,['common_path_probe'],1,0.65,1.65,200,True,True,2026-05-06 19:56:34.711509+00:00,2026-05-06 19:56:34.711509+00:00
28844,alguna,Alguna,https://alguna.com,https://alguna.com/careers,https://alguna.com/careers,https://alguna.com/careers,careers_page,['common_path_probe'],1,0.65,1.65,200,True,True,2026-05-06 19:56:34.945812+00:00,2026-05-06 19:56:34.945812+00:00
1970,alpha-vantage,Alpha Vantage,https://www.alphavantage.co/,https://www.alphavantage.co/careers/,https://www.alphavantage.co/careers,https://alphavantage.co/careers,careers_page,['common_path_probe'],1,0.65,1.65,200,True,True,2026-05-06 19:56:35.458021+00:00,2026-05-06 19:56:35.458021+00:00
13081,abalone-bio,Abalone Bio,https://www.abalonebio.com,https://www.abalonebio.com/careers/ab2025-101,https://www.abalonebio.com/careers/ab2025-101,https://abalonebio.com/careers/ab2025-101,careers_page,['sitemap'],1,0.78,0.78,200,False,True,2026-05-06 19:56:31.346512+00:00,2026-05-06 19:56:31.346512+00:00
29558,abel-police,Abel Police,http://abelpolice.com,https://abelpolice.com/careers/senior-engineer,https://abelpolice.com/careers/senior-engineer,https://abelpolice.com/careers/senior-engineer,careers_page,['sitemap'],1,0.78,0.78,200,False,True,2026-05-06 19:56:31.361707+00:00,2026-05-06 19:56:31.361707+00:00
13413,adyn,adyn,https://adyn.com,https://adyn.com/careers/back-end-engineer,https://adyn.com/careers/back-end-engineer,https://adyn.com/careers/back-end-engineer,careers_page,['sitemap'],1,0.78,0.78,200,False,True,2026-05-06 19:56:32.381259+00:00,2026-05-06 19:56:32.381259+00:00
13413,adyn,adyn,https://adyn.com,https://adyn.com/careers/digital-storytelling-intern,https://adyn.com/careers/digital-storytelling-intern,https://adyn.com/careers/digital-storytelling-intern,careers_page,['sitemap'],1,0.78,0.78,200,False,True,2026-05-06 19:56:32.381259+00:00,2026-05-06 19:56:32.381259+00:00
22152,afriex,Afriex,https://www.afriexapp.com,https://www.afriex.com/careers,https://www.afriex.com/careers,https://afriex.com/careers,careers_page,['sitemap'],1,0.78,0.78,200,False,True,2026-05-06 19:56:32.637057+00:00,2026-05-06 19:56:32.637057+00:00
