id,company_id,company_slug,company_name,company_yc_url,title,url,absolute_url,apply_url,location,type,role,role_specific_type,pretty_role,salary_range,equity_range,min_experience,min_school_year,visa,skills,is_incomplete,created_at,last_active
76117,22854,topkey,Topkey,https://www.ycombinator.com/companies/topkey, Senior Rails Engineer -- Fintech Platform (Thoughtful Applications Only -- Cover Letter Required),/companies/topkey/jobs/bjPI5a8-senior-rails-engineer-fintech-platform-thoughtful-applications-only-cover-letter-required,https://www.ycombinator.com/companies/topkey/jobs/bjPI5a8-senior-rails-engineer-fintech-platform-thoughtful-applications-only-cover-letter-required,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76117&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22854,"Miami, FL, US / Nashville, TN, US / Remote (US)",Full-time,eng,Frontend,Engineering,$1 - $2,,3+ years,,US citizen/visa only,PostgreSQL; Ruby; Ruby on Rails,False,about 1 year,
82608,22854,topkey,Topkey,https://www.ycombinator.com/companies/topkey,Account Executive,/companies/topkey/jobs/d0fpPes-account-executive,https://www.ycombinator.com/companies/topkey/jobs/d0fpPes-account-executive,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D82608&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22854,"Austin, TX, US",Full-time,sales,,Sales,$150K - $200K,0.10% - 0.30%,6+ years,,US citizen/visa only,,False,10 months,5 months
82609,22854,topkey,Topkey,https://www.ycombinator.com/companies/topkey,Senior Sales Development Representative,/companies/topkey/jobs/1HDPaxv-senior-sales-development-representative,https://www.ycombinator.com/companies/topkey/jobs/1HDPaxv-senior-sales-development-representative,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D82609&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22854,"Austin, TX, US",Full-time,sales,,Sales,$60K - $90K,,Any (new grads ok),,US citizen/visa only,,False,10 months,
98805,22854,topkey,Topkey,https://www.ycombinator.com/companies/topkey,Accountant — Short-Term Rental / Property Management,/companies/topkey/jobs/ZM7KYzO-accountant-short-term-rental-property-management,https://www.ycombinator.com/companies/topkey/jobs/ZM7KYzO-accountant-short-term-rental-property-management,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D98805&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22854,PH / Remote (PH),Full-time,finance,,Finance,$1K - $3K / monthly,,3+ years,,US citizenship/visa not required,,False,15 days,
98806,22854,topkey,Topkey,https://www.ycombinator.com/companies/topkey,Bookkeeper — Short-Term Rental / Property Management,/companies/topkey/jobs/Ag0D6Ua-bookkeeper-short-term-rental-property-management,https://www.ycombinator.com/companies/topkey/jobs/Ag0D6Ua-bookkeeper-short-term-rental-property-management,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D98806&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22854,PH / Remote (PH),Full-time,finance,,Finance,$500 - $2K / monthly,,1+ years,,US citizenship/visa not required,,False,15 days,
65147,22861,pangea-app,Pangea.app,https://www.ycombinator.com/companies/pangea-app,Growth Marketing Manager,/companies/pangea-app/jobs/Ecvk6ia-growth-marketing-manager,https://www.ycombinator.com/companies/pangea-app/jobs/Ecvk6ia-growth-marketing-manager,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D65147&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22861,US / CA / Remote (US; CA),Contract,marketing,,Marketing,$2.5K - $10K,,Any (new grads ok),,US citizen/visa only,,False,over 2 years,
65184,22861,pangea-app,Pangea.app,https://www.ycombinator.com/companies/pangea-app,Social Media Manager,/companies/pangea-app/jobs/oFxurUs-social-media-manager,https://www.ycombinator.com/companies/pangea-app/jobs/oFxurUs-social-media-manager,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D65184&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22861,"US / New York, NY, US / Boston, MA, US / Los Angeles, CA, US / San Francisco, CA, US / Austin, TX, US / Miami, FL, US / Raleigh, NC, US / Durham, NC, US / Boulder, CO, US / Remote (US; New York, NY, US; Boston, MA, US; Los Angeles, CA, US; San Francisco, CA, US; Austin, TX, US; Miami, FL, US; Raleigh, NC, US; Durham, NC, US; Boulder, CO, US)",Contract,marketing,,Marketing,$3K - $120K,,1+ years,,US citizen/visa only,,False,over 2 years,
65194,22861,pangea-app,Pangea.app,https://www.ycombinator.com/companies/pangea-app,Webflow/Framer Web Designer,/companies/pangea-app/jobs/d0jW6if-webflow-framer-web-designer,https://www.ycombinator.com/companies/pangea-app/jobs/d0jW6if-webflow-framer-web-designer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D65194&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22861,"US / New York, NY, US / Boston, MA, US / Los Angeles, CA, US / San Francisco, CA, US / Austin, TX, US / Miami, FL, US / Raleigh, NC, US / Durham, NC, US / Boulder, CO, US / Remote (US; New York, NY, US; Boston, MA, US; Los Angeles, CA, US; San Francisco, CA, US; Austin, TX, US; Miami, FL, US; Raleigh, NC, US; Durham, NC, US; Boulder, CO, US)",Contract,design,Web design,Design,$3K - $120K,,1+ years,,US citizen/visa only,,False,over 2 years,
65726,22861,pangea-app,Pangea.app,https://www.ycombinator.com/companies/pangea-app,UI/UX Designer,/companies/pangea-app/jobs/71NlYUD-ui-ux-designer,https://www.ycombinator.com/companies/pangea-app/jobs/71NlYUD-ui-ux-designer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D65726&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22861,US / CA / GB / Remote (US; CA; GB),Contract,design,UI / UX,Design,$80K - $200K,,Any (new grads ok),,US citizen/visa only,,False,over 2 years,
45746,22866,anima,Anima,https://www.ycombinator.com/companies/anima,Staff Software Engineer,/companies/anima/jobs/NQWCV4a-staff-software-engineer,https://www.ycombinator.com/companies/anima/jobs/NQWCV4a-staff-software-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D45746&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=22866,Remote,Full-time,eng,Full stack,Engineering,£80 - £150 GBP,,3+ years,,Will sponsor,JavaScript; Node.js; TypeScript,False,almost 5 years,about 1 month
