company_slug,company_name,url,page_kind,confidence,job_title,job_count,role_titles,http_status,parser_name,parser_version,classified_at,evidence
adaptyv,Adaptyv,https://www.adaptyvbio.com/careers,job_listing,0.84,,1,"[""Software Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.782441+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 0, ""domain"": ""adaptyvbio.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [""Software Engineer""], ""title"": ""Careers | Adaptyv Bio"", ""url_kind"": ""careers_page""}"
adam,Adam,https://adam.new/careers,career_home,0.74,,1,"[""Founding Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.781445+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 0, ""domain"": ""adam.new"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [""Founding Engineer""], ""title"": ""Work at Adam"", ""url_kind"": ""careers_page""}"
acunote,Acunote,https://www.acunote.com/jobs,job_listing,0.84,,2,"[""Senior Software Engineer"", ""Software Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.779901+00:00,"{""career_marker_hits"": 3, ""detail_marker_hits"": 2, ""domain"": ""acunote.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/jobs"", ""role_like_path"": false, ""role_titles"": [""Senior Software Engineer"", ""Software Engineer""], ""title"": ""Jobs - Acunote"", ""url_kind"": ""careers_page""}"
aclu,ACLU,https://www.aclu.org/careers/,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.777653+00:00,"{""career_marker_hits"": 4, ""detail_marker_hits"": 1, ""domain"": ""aclu.org"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Careers at ACLU | American Civil Liberties Union"", ""url_kind"": ""careers_page""}"
abhi,Abhi,https://abhi.com.pk/job-openings/,career_home,0.74,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.776607+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 0, ""domain"": ""abhi.com.pk"", ""generic_path"": false, ""is_ats"": false, ""listing_marker_hits"": 2, ""path"": ""/job-openings/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Jobs - Abhi - Finance Redefined"", ""url_kind"": ""careers_page""}"
abatable,Abatable,https://abatable.com/careers/,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.775578+00:00,"{""career_marker_hits"": 4, ""detail_marker_hits"": 1, ""domain"": ""abatable.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 2, ""path"": ""/careers/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Careers at Abatable \u2022 Abatable"", ""url_kind"": ""careers_page""}"
abalone-bio,Abalone Bio,https://www.abalonebio.com/careers,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.775032+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 0, ""domain"": ""abalonebio.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Careers"", ""url_kind"": ""careers_page""}"
a0-dev,a0.dev,https://a0.dev/careers,career_home,0.74,,1,"[""Founding Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.774556+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 0, ""domain"": ""a0.dev"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [""Founding Engineer""], ""title"": ""Careers - a0.dev"", ""url_kind"": ""careers_page""}"
80-000-hours,"80,000 Hours",https://80000hours.org/about/work-with-us/,job_listing,0.84,,1,"[""Product Lead""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.773092+00:00,"{""career_marker_hits"": 3, ""detail_marker_hits"": 0, ""domain"": ""80000hours.org"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/about/work-with-us/"", ""role_like_path"": false, ""role_titles"": [""Product Lead""], ""title"": ""Work with us | 80,000 Hours"", ""url_kind"": ""careers_page""}"
1910,1910,https://www.1910.ai/careers,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.772368+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 0, ""domain"": ""1910.ai"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Careers"", ""url_kind"": ""careers_page""}"
aiprise,AiPrise,https://jobs.ashbyhq.com/aiprise,ats_listing,0.72,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.772212+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 0, ""domain"": ""jobs.ashbyhq.com"", ""generic_path"": false, ""is_ats"": true, ""listing_marker_hits"": 0, ""path"": ""/aiprise"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""AiPrise Jobs"", ""url_kind"": ""ats""}"
agilemd,AgileMD,https://app.dover.com/jobs/agilemd,ats_listing,0.72,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.771846+00:00,"{""career_marker_hits"": 0, ""detail_marker_hits"": 0, ""domain"": ""app.dover.com"", ""generic_path"": false, ""is_ats"": true, ""listing_marker_hits"": 0, ""path"": ""/jobs/agilemd"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Dover"", ""url_kind"": ""ats""}"
9-mothers-corporation,9 Mothers,https://jobs.ashbyhq.com/9-mothers,ats_listing,0.72,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.771382+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 0, ""domain"": ""jobs.ashbyhq.com"", ""generic_path"": false, ""is_ats"": true, ""listing_marker_hits"": 0, ""path"": ""/9-mothers"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""9 Mothers Jobs"", ""url_kind"": ""ats""}"
