id,company_id,company_slug,company_name,company_yc_url,title,url,absolute_url,apply_url,location,type,role,role_specific_type,pretty_role,salary_range,equity_range,min_experience,min_school_year,visa,skills,is_incomplete,created_at,last_active
80138,30301,fuseai,FuseAI,https://www.ycombinator.com/companies/fuseai,Senior Frontend Engineer,/companies/fuseai/jobs/AS9hfmv-senior-frontend-engineer,https://www.ycombinator.com/companies/fuseai/jobs/AS9hfmv-senior-frontend-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D80138&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30301,Remote,Full-time,eng,Frontend,Engineering,$30K - $80K,0.10% - 1.00%,3+ years,,US citizenship/visa not required,,False,9 months,
75354,30301,fuseai,FuseAI,https://www.ycombinator.com/companies/fuseai,Senior Software Engineer,/companies/fuseai/jobs/hbFIiUp-senior-software-engineer,https://www.ycombinator.com/companies/fuseai/jobs/hbFIiUp-senior-software-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D75354&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30301,"San Francisco, CA, US / Remote (IN; BR; AR)",Full-time,eng,Full stack,Engineering,$30K - $160K,0.25% - 2.00%,1+ years,,Will sponsor,JavaScript,False,about 1 year,
80392,30301,fuseai,FuseAI,https://www.ycombinator.com/companies/fuseai,Growth & Operations Summer Associate,/companies/fuseai/jobs/8ulCBUf-growth-operations-summer-associate,https://www.ycombinator.com/companies/fuseai/jobs/8ulCBUf-growth-operations-summer-associate,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D80392&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30301,"San Francisco, CA, US",Internship,marketing,,Marketing,$4.25K - $8.5K / monthly,,,Sophomore and above,US citizen/visa only,,False,9 months,
93744,30302,misprint,Misprint,https://www.ycombinator.com/companies/misprint,Founding Full Stack Engineer,/companies/misprint/jobs/8ecu1Vz-founding-full-stack-engineer,https://www.ycombinator.com/companies/misprint/jobs/8ecu1Vz-founding-full-stack-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93744&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30302,"New York, NY, US",Full-time,eng,Full stack,Engineering,$130K - $180K,0.25% - 0.60%,3+ years,,US citizen/visa only,Amazon Web Services (AWS); Node.js; PostgreSQL; Python; React; React Native; TypeScript; Next.js; Tailwind,False,9 days,
93041,30302,misprint,Misprint,https://www.ycombinator.com/companies/misprint,Founding Growth Marketing Lead,/companies/misprint/jobs/AUQ6gpq-founding-growth-marketing-lead,https://www.ycombinator.com/companies/misprint/jobs/AUQ6gpq-founding-growth-marketing-lead,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93041&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30302,"New York, NY, US",Full-time,marketing,,Marketing,$120K - $160K,0.10% - 0.40%,3+ years,,US citizen/visa only,,False,23 days,23 days
92866,30302,misprint,Misprint,https://www.ycombinator.com/companies/misprint,Pokémon Content & Social Media Intern,/companies/misprint/jobs/9GaKY2P-pokemon-content-social-media-intern,https://www.ycombinator.com/companies/misprint/jobs/9GaKY2P-pokemon-content-social-media-intern,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D92866&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30302,"New York, NY, US / Remote (New York, NY, US)",Internship,marketing,,Marketing,$18 - $22 / hourly,,,Sophomore and above,US citizen/visa only,Marketing design,False,29 days,
91403,30303,afterquery,AfterQuery,https://www.ycombinator.com/companies/afterquery,Strategic Projects Lead,/companies/afterquery/jobs/iTt13cJ-strategic-projects-lead,https://www.ycombinator.com/companies/afterquery/jobs/iTt13cJ-strategic-projects-lead,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D91403&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30303,San Francisco,Full-time,operations,,Operations,$200K - $400K,,1+ years,,US citizen/visa only,,False,2 months,
91406,30303,afterquery,AfterQuery,https://www.ycombinator.com/companies/afterquery,Technical Strategic Projects Intern,/companies/afterquery/jobs/8NagVRQ-technical-strategic-projects-intern,https://www.ycombinator.com/companies/afterquery/jobs/8NagVRQ-technical-strategic-projects-intern,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D91406&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30303,San Francisco,Full-time,operations,,Operations,$90K,,,,US citizen/visa only,,False,2 months,
82771,30303,afterquery,AfterQuery,https://www.ycombinator.com/companies/afterquery,Software Engineer - Applied AI / Platform,/companies/afterquery/jobs/7tsT0ks-software-engineer-applied-ai-platform,https://www.ycombinator.com/companies/afterquery/jobs/7tsT0ks-software-engineer-applied-ai-platform,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D82771&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30303,"San Francisco, CA, US",Full-time,eng,Full stack,Engineering,$140K - $200K,,1+ years,,US citizen/visa only,Node.js; Python; Next.js,False,7 months,about 1 month
91417,30303,afterquery,AfterQuery,https://www.ycombinator.com/companies/afterquery,Marketing Lead,/companies/afterquery/jobs/Ww01atn-marketing-lead,https://www.ycombinator.com/companies/afterquery/jobs/Ww01atn-marketing-lead,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D91417&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30303,San Francisco,Full-time,marketing,,Marketing,$160K - $220K,,3+ years,,US citizen/visa only,,False,2 months,about 1 month
